weight;date;price
0.002796;2010-01-01;52.658
0.002796;2010-01-02;45.997
0.002896;2010-01-03;60.589
0.002897;2010-01-04;60.380
0.002898;2010-01-05;87.472
0.002899;2010-01-06;26.538
0.002696;2010-01-07;74.030
0.002796;2010-01-08;5.156
0.002996;2010-01-09;24.082
0.002796;2010-01-10;65.909
0.002796;2010-01-11;17.662
0.002496;2010-01-12;82.791
0.002796;2010-01-13;43.022
0.002796;2010-01-14;39.963
0.002796;2010-01-15;23.608
0.002796;2010-01-16;93.444
0.002796;2010-01-17;93.952
0.002796;2010-01-18;51.382
0.002896;2010-01-19;66.194
0.002897;2010-01-20;67.321
0.002898;2010-01-21;92.240
0.002899;2010-01-22;8.548
0.002696;2010-01-23;90.413
0.002796;2010-01-24;96.719
0.002996;2010-01-25;95.966
0.002796;2010-01-26;17.260
0.002796;2010-01-27;92.833
0.002496;2010-01-28;9.834
0.002796;2010-01-29;62.808
0.002796;2010-01-30;18.993
0.002796;2010-01-31;46.420
0.002796;2010-02-01;85.015
0.002796;2010-02-02;69.889
0.002796;2010-02-03;29.881
0.002896;2010-02-04;12.572
0.002897;2010-02-05;50.133
0.002898;2010-02-06;67.934
0.002899;2010-02-07;82.581
0.002696;2010-02-08;54.494
0.002796;2010-02-09;47.290
0.002996;2010-02-10;76.182
0.002796;2010-02-11;84.089
0.002796;2010-02-12;8.748
0.002496;2010-02-13;72.491
0.002796;2010-02-14;15.434
0.002796;2010-02-15;0.520
0.002796;2010-02-16;17.806
0.002796;2010-02-17;32.976
0.002796;2010-02-18;33.718
0.002796;2010-02-19;82.305
0.002896;2010-02-20;79.599
0.002897;2010-02-21;85.873
0.002898;2010-02-22;67.502
0.002899;2010-02-23;23.110
0.002696;2010-02-24;76.516
0.002796;2010-02-25;18.765
0.002996;2010-02-26;24.767
0.002796;2010-02-27;64.732
0.002796;2010-02-28;15.481
0.002496;2010-03-01;73.990
0.002796;2010-03-02;65.498
0.002796;2010-03-03;12.392
0.002796;2010-03-04;68.356
0.002796;2010-03-05;3.949
0.002796;2010-03-06;52.191
0.002796;2010-03-07;1.332
0.002896;2010-03-08;21.478
0.002897;2010-03-09;55.860
0.002898;2010-03-10;7.926
0.002899;2010-03-11;74.820
0.002696;2010-03-12;60.741
